"unit","sex","age","nace_r2","geo","time","values"
"THS","F","Y15-29","S","BG","2015Q2",NA
"THS","F","Y15-29","T","BG","2015Q2",NA
"THS","F","Y15-29","TOTAL","BG","2015Q2",NA
"THS","F","Y15-39","A","BG","2015Q2",NA
"THS","F","Y15-39","C","BG","2015Q2",NA
"THS","F","Y15-39","D","BG","2015Q2",NA
"THS","F","Y15-39","E","BG","2015Q2",NA
"THS","F","Y15-39","F","BG","2015Q2",NA
"THS","F","Y15-39","G","BG","2015Q2",NA
"THS","F","Y15-39","H","BG","2015Q2",NA
"THS","F","Y15-39","I","BG","2015Q2",NA
"THS","F","Y15-39","J","BG","2015Q2",NA
"THS","F","Y15-39","K","BG","2015Q2",NA
"THS","F","Y15-39","L","BG","2015Q2",NA
"THS","F","Y15-39","M","BG","2015Q2",NA
"THS","F","Y15-39","N","BG","2015Q2",NA
"THS","F","Y15-39","O","BG","2015Q2",NA
